大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
黎文休曰一李琢之貪暴𦤶十數年蠻寇之患况甚虐於李琢者乎。	lê văn hưu nói : một lý trác tham bạo mà dẫn đến mười mấy năm bị tai hoạ người man , huống chi lại có kẻ bạo ngược hơn cả lý trác nữa .
曰江山有厭勝之術天氣之運聖人之生厭勝有何術乎。	nếu bảo núi sông có thể lấy pháp thuật mà trấn áp , thì khí trời chuyển vận , thánh nhân ra đời có pháp thuật gì trấn áp được không ? .
且人已降而殺之不祥莫大焉。	vả lại , người ta đã hàng , mà mình lại giết thì là điềm xấu không gì lớn bằng .
守度再三固請未𫎇俞𠃔乃謂眾曰凣乘興所在即是朝廷。	thủ độ cố nài xin nhiều lần vẫn chưa được vua nghe , mới bảo mọi người rằng : " xa giá ở đâu tức là triều đình ở đó " .
王留思之。	xin vương lưu ý suy xét .
武階六品以下文階八九品朝謁服九月。	võ giai từ lục phẩm trở xuống , văn giai từ bát cửu phẩm có dự triều yết để tang chín tháng .
太學生四十八名出身有差。	cho bốn mươi tám người đỗ thái học sinh , xuất thân theo thứ bậc khác nhau .
以舌差隊差將巡邉恐取脱州人銀子事𭛁故罷之。	vì quân lính và chỉ huy của thiệt sai đi tuần tiễu biên giới đã doạ nạt lấy bạc của người châu thoát , việc bị phát giác , nên thiệt phải bãi chức .
十八日節制鄭松督大兵出長安。	ngày mười tám , tiết chế trịnh tùng đốc suất đại quân ra phủ trường yên .
因為王家臣得王訓導之益材噐絶倫。	nhân đó , làm gia thần cho vương , được vương dạy bảo thêm , tài nghệ tuyệt vời .
然政事猶用牙印施行新寶俱未用也。	nhưng chính sự thì vẫn dùng ấn bằng ngà , chưa dùng đến các ấn mới đúc .
󰔻身黑而長有才辨。	lãm người đen mà cao , có tài biện bác .
七日帝親率舟師一千餘艘精兵七十餘萬出新厭𦾔坐二海口樹天子旌旗皷噪而進。	ngày mồng bảy , vua tự mình dẫn hơn một nghìn chiếc thuyền , hơn bảy mươi vạn tinh binh ra hai cửa biển tân áp và cựu toạ dựng cờ thiên tử , đánh trống hò reo mà tiến .
不惟余之家小得安床蓐而爾等之妻孥亦百年之偕老。	chẳng những gia quyến của ta được yên ấm gối chăn , mà vợ con các ngươi cũng được bách niên giai lão .
人人深感大恩。	mọi người đều thầm cảm ơn to .
從細江縣知縣鄧見素之奏也。	đó là lời tâu của tri huyện tế giang đặng kiến tố .
民命政事簿書獄訟要處置得宜。	những việc trị dân , hành chính , sổ sách , kiện tụng phải xử trí cho thích đáng .
冬十月初七日召進士杜履謙等入應制命作五王帳記。	mùa đông , tháng mười , ngày mồng bảy , tuyên triệu bọn tiến sĩ đỗ lý khiêm vào làm bài ứng chế , vua sai làm bài ký ngũ vương trướng .
惇典用禮遠奸親賢。	theo điển , dùng lễ , lánh gian , thân hiền .
時外戚姜种阮伯勝等擅作威福權傾中外民間不得󰁮手動足。	bấy giờ bọn ngoại thích là khương chủng và nguyễn bá thắng tự tiện làm oai làm phúc , quyền thế nghiêng lệch trong triều ngoài trấn , dân chúng không dám cất tay động chân .
今年又以疾緩師。	năm nay lại vì đau mắt mà hoãn việc xuất quân .
五月三日二帝敗賊於長安府斬馘無算。	tháng năm , ngày mồng ba , hai vua đánh bại giặc ở phủ trường yên , chém đầu cắt tai giặc nhiều không kể xiết .
號令分明軍士奉命整飭部伍。	hiệu lệnh rất rõ ràng , quân sĩ đều vâng mệnh , chỉnh đốn đội ngũ .
後興孝王討沱江蠻泊白鶴江夜夢神曰前年帝有褒賞之命至是無聞。	sau này hưng hiếu vương đi đánh man đà giang , đỗ thuyền trên sông bạch hạc , đêm thấy thần báo mộng rằng : " năm trước vua có lệnh khen thưởng mà đến nay vẫn chưa thấy gì " .
夏四月路文律起兵於石室李彬擊破之文律奔哀牢民人巤入佛跡山安岑山洞。	mùa , hạ , tháng bốn , lộ văn luật dấy binh ở thạch thất , lý bân đánh phá được . lộ văn luật chạy sang ai lao , dân chúng thì trốn vào hang núi phật tích và an sầm .
令如捉得暠賞五十人。	nếu bắt được cảo thì được thưởng cho năm mươi người .
守度𨿽為宰相而凣事罔不加意。	thủ độ tuy làm tể tướng , nhưng mọi việc không việc gì không để ý .
春清化府献檳榔一本九莖。	mùa xuân , phủ thanh hoá dâng cây cau một gốc chín thân .
一侵占人田土及伐標拨碣擅立界限者應杖貶若剗削田畔止論罸錢。	một - kẻ nào xâm chiếm ruộng đất của người khác và chặt nêu , nhổ mốc , tự tiện lập giới hạn thì phải phạt trượng và biếm truất : nếu phá bỏ bờ ruộng thì chỉ phạt tiền thôi .
不願而自私争認乞還聚者以軍憲論。	nếu không tự nguyện lên thành mà tranh nhau nhận về đoàn tụ thì phải xử theo quân luật .
儂氏遂滅。	từ đây họ nùng bị diệt .
少者罔念而作狂老者不死而賊。	bọn trẻ không biết nghĩ , làm bậy ngông cuồng , người già chẳng chết đi , trở thành mối hoạ .
時有諺云欲活入隐林山欲死吳朝做官。	bấy giờ có câu ngạn ngữ : " muốn sống vào ẩn núi rừng , muốn chết làm quan triều ngô .
以胡宗鷟為翰。	lấy hồ tông thốc làm hàn .
賊兵勢逼二帝潜御小舟行三峙元。	thế giặc bức bách , hai vua ngầm đi chiếc thuyền nhỏ đến tam trĩ nguyên , .
前年考試免󰱇多有懷挾代試中者殆萬餘人甚於冗濫。	trước đây , khảo thí để miễn tuyển , có nhiều kẻ mang sách , thi hộ , số đỗ đến hơn vạn người , rất là nhũng lạm .
然願在者多願去者少。	nhưng người muốn ở lại thì nhiều , muốn xin đi thì ít .
乃多殺戮何以為仁義之師哉。	thế là lại giết nhiều như vậy , sao gọi là quan nhân nghĩa được ? .
握符闡珍。	giữ báu nắm phù .
三月太師鄭檢使榮郡公黄廷愛等領兵鎮守諒山。	tháng ba , thái sư trịnh kiểm sai bọn vinh quận công hoàng đình ái đem quân trấn giữ lạng sơn .
至是王親扶登殿即皇帝位改元以明年正月爲永治元年。	đến đây , vương đích thân dìu lên điện , lên ngôi hoàng đế . đổi niên hiệu , lấy tháng giêng năm sau làm vĩnh trị năm thứ nhất .
行遣阮有光内密黎懷之宦官五六輩無一人以闔門。	hành khiển nguyễn hữu quang , nội mật lê hoàn chi , hoạn quan chừng năm sáu bọn mà không một người đóng cửa cho nghiêm .
賊乘勢四靣合圍。	giặc thừa thế vây kín bốn mặt .
帝使丁蝮退還其奏不納。	vua sai đinh phúc trả lại tờ tâu không nhận .
𥘉宋亡其人㱕我。	trước kia , nhà tống mất , nhiều người tống theo ta .
及差官𦤶祭天下各處神祗。	đồng thời sai các quan đi tế thần kỳ ở các xứ trong nước .
帝既遣黎少頴等求封凣東關城僞官及良民被脅者悉令送還。	sau khi sai bọn lê thiếu dĩnh sang cầu phong , tất cả bọn nguỵ quan và lương dân bị cưỡng bức đi theo ở trong thành đông quan , vua đều sai đưa về cả .
况臨終之際爲國薦賢不以私恩太后不用其言李氏之不幸也。	huống chi đến lúc sắp chết còn vì nước tiến cử người hiền , không vì ơn riêng , thái hậu không dùng lời nói của hiến thành là việc không may cho nhà lý vậy .
况有程子倡之於前而朱子補其未圖於後則其義精矣。	huống chi lại có trình tử xướng ơ trước , và chu tử bổ sung chỗ chưa hoàn hảo ở sau , thì nghĩa đã tinh lắm rồi .
秋逆人蘇厚杜崇謀反伏誅。	mùa thu , kẻ nghịch là tô hậu và đỗ sùng mưu làm phản , bị giết .
世羙先登騎馬來戦。	thế mỹ nhảy lên ngựa trước đến đánh .
敢有徇私保󰁮年少年浅者該科御史󰱑󰁮奏治罪以懲人臣徇私妄保及僥倖攪擾之弊。	người nào dám lấy tình riêng mà bảo cử người tuổi trẻ , năm ít , thì khoa phụ trách , ngự sử đài tâu hặc trị tội để răn đe những kẻ làm tôi theo tình riêng bảo cử bậy và trừ cái tệ cầu may hỗn loạn .
欽㢤慎勿固辝。	kính theo , chớ có từ chối .
該總該社勾勘户婚田土諸訟水路陸路私置巡司巡察衙門。	bọn cai tổng , xã trưởng thì bắt hỏi việc kiện tụng về hộ khẩu , hôn nhân , ruộng đất , trên đường bộ , đường thuỷ đặt riêng nha môn tuần ty , tuần sát .
十四日天不雨。	ngày mười bốn , trời không mưa .
旨揮大臣文武百官今後公侯文武等官入朝從人各有分數一品五人二品二人三品一人。	ra lệnh chỉ cho đại thần và các quan văn võ rằng : từ nay về sau , các bậc công hầu và các quan văn võ khi nào chầu , mỗi người chỉ mang theo số người hầu nhất định : nhất phẩm thì năm người , nhị phẩm hai người , tam phẩm một người .
時上皇自天長府回京師。	bấy giờ thượng hoàng từ phủ thiên trường trở về kinh sư .
明以熊宗魯任交趾右參議。	nhà minh lấy hùng tông lỗ làm giao chỉ hữu tham nghị .
土人香户王萌等將家小三十九人奉匹叚名香上進。	bọn hương hộ người địa phương là vương manh đem vợ con ba mươi chín người tới dâng đoạn tấm và hương quý .
於戲窮冦刲羊無血可󰏲六月之師南陲見豕負塗不待七旬之格。	ôi ! giặc cùng mổ dê không máu ; nên học xưa tháng sáu ra quân , cõi nam thấy lợn lấm bùn chẳng đợi bảy tuần phục .
他日假手於人而不得其死也宜哉。	ngày sau , phải chết bất đắc kỳ tử bởi tay người khác cũng là đáng lắm ! .
癸亥八年宋元豊六年。	quý hợi , năm thứ tám , ( tống nguyên phong năm thứ sáu ) .
節制鄭松𭁈大臣文武入内殿朝謁。	tiết chế trịnh tùng cùng với các đại thần văn võ vào nội điện triều yết .
入翰林院加一級除監察御史知縣以本品除。	nếu vào hàn lâm viện thì được gia một cấp ; nếu bổ làm giám sát ngự sử hay tri huyện thì giữ nguyên phẩm cũ mà bổ .
令同知阮滿隊長阮雷賫書徃西都古弄二城撤圍以二城未下故也。	sai đồng tri nguyễn mẫn , đội trưởng nguyễn lôi mang thư đến hai thành tây đô và cổ lộng ra lệnh giải vây , vì hai thành này chưa hạ được .
十一月明遣正使行人司行人程璥來致祭。	tháng mười một , nhà minh sai chánh sứ hành nhân ty hành nhân trình cảnh sang tế .
自春至此不雨。	từ mùa xuân đến đây không mưa .
人君法天因甲子之運行紀在位之久近從古已然。	người làm vua theo phép trời , nhân sự vận hành của can chi mà chép năm ở ngôi lâu hay chóng , từ xưa đã như thế .
帝日𭁈近習戲於官内大臣欲勸學乃共奏擬以行遣承止阮廌中書侍郎程舜俞等文臣六人隨二三大臣分番入侍經筵。	vua hằng ngày vui đùa với bọn hầu cận ở trong cung , các đại thần muốn khuyên vua học , cùng nhau tâu lên xin cử sáu văn thần là bọn hành khiển thừa chỉ nguyễn trãi , trung thư thị lang trình thuấn du ... đi theo hai , ba đại thần chia phiên nhau vào hầu kinh diên .
兵之引過秋毫無犯民皆草靡降服案堵如故爭持酒糧米給軍。	quân đi đến đâu , không mảy may xâm phạm của dân , dân chúng đều thuận lòng hàng phục , yên ổn như xưa , mọi người tranh nhau đem rượu thịt lúa gạo cấp cho quân .
路統府府統州州統縣。	lộ thống nhiếp phủ , phủ thống nhiếp châu , châu thống nhiếp huyện .
賜三品以下并在籃京官及扈駕諸軍士諸邑人等錢有差。	còn các quan từ tam phẩm trở xuống và các quan ở lam kinh cùng các loại quân sĩ đi hộ giá thì ban tiền theo thứ bậc khác nhau .
延富閣賞花亭玉花階金蓮池明月橋及御厨大葉船宫内大葉船。	gác diện phú , đình thưởng hoa , thềm ngọc hoa , hồ kim liên , cầu minh nguyệt và đóng thuyền to bản của ngự trù , thuyền to bản của cung nội .
春以欽聖公主嫁渭龍州牧何彛慶。	mùa xuân , gả công chúa khâm thánh cho châu mục châu vị long là hà di khánh .
臣窃見監生儒生年未至三十充未滿十五年但以會試中塲徃徃僥倖求進有所攪擾不便。	thần trộm thấy giám sinh , nho sinh chưa đến ba mươi tuổi , vào học chưa đầy mười lăm năm , chỉ vì thi hội trúng trường lại hay được may mắn tiến thân , như thế thì có sự hỗn loạn không ổn .
十四曰謹法度以開太平之治。	mười bốn - luật pháp , chế độ phải thận trọng để mở nền thịnh trị thái bình .
以誕日為儀天聖節。	lấy ngày sinh làm nghi thiên thánh tiết .
秋八月試通三教諸科。	mùa thu , tháng tám , thi các khoa thông tam giáo .
七日諜報云唆都自清化來。	ngày mồng bảy , thám tử báo tin : toa đô từ thanh hoá tới .
真天禄平浪上社人。	chân người xã bình lãng thượng , huyện thiên lộc .
周睟日睟音醉周年也子生一歲也英宗廵邊在外家事决扵明宗。	hôm người con ấy đầy tuổi thì anh tông đi tuần biên giới vắng , việc ở nhà do minh tông quyết định .
十二月諭太傅阮熾等宗社安危在卿數人矣卿當思之深計之熟奏聞政事朕力疾内决卿等外承之。	tháng mười hai , dụ bọn thái phó nguyễn xí rằng : " tông miếu xã tắc an hay nguy là ở mấy người các khanh thôi . các khanh nên nghĩ cho kỹ , tính cho chín , tâu việc trị nước cho trẫm biết . trẩm sẽ cố gắng quyết đoán ở bên trong , các khanh sẽ thừa hành ở bên ngoài " .
特以演州之人不遵厥化逞行昏暴殘忍小民罪惡貫盈於今不容不討。	chỉ vì người diễn châu không theo giáo hoá , ngu bạo làm càn , tàn ngược chúng dân , tội ác chồng chất , đến nay không thể dung tha không đánh .
群臣貨捷。	các quan chúc mừng thắng lợi .
秋七月申禁衣服過制。	mùa thu , tháng bảy , nhắc lại lệnh cấp y phục vượt quy chế .
令史官修𢮪吳士連撰大越史記全書十五卷。	sai sử quan tu soạn ngô sĩ liên soạn bộ đại việt sứ ký toàn thư mười lăm quyển .
文質對曰太和年間征占熟米迄征盆蛮時經二十六年尚可食也。	văn chất trả lời : " khoảng năm thái hoà , số gạo nấu chín khi đi đánh chiêm thành mãi đến khi đi đánh bồn man , trải qua hai mươi sáu năm vẫn còn ăn được " .
宣威將軍武斯宏陣前力戰死之。	tuyên uy tướng quân vũ tư hoằng liều sức chiến đấu , chết tại trận .
帝𫳭小竪阮供。	vua yêu dùng hoạn quan nguyễn cung .
元拒之諸將欲戰璜疑斷橋内有伏兵迺别列長㦸於其後。	nguyên chống cự . các tướng muốn đánh , hoàng ngờ bên trong chỗ cầu gãy có phục binh , bèn dàn riêng một đội quân giáo dài ở đằng sau .
明早施帳幔請徽兄弟以次入。	sáng hôm sau , đại bày màn trướng , mời anh em huy theo thứ tự đi vào .
壬申洪福元年莫崇康七年明隆慶六年。	nhâm thân , hồng phúc năm thứ nhất , ( mạc sùng khang năm thứ bảy ; minh long khánh năm thứ sáu ) .
自是該勘諸司遵以爲常。	từ đấy , các ty xét kiện tuân theo làm lệ thường .
上曰好者乃爾𡸈無紅腐耶槩其近久則十年全好矣。	vua nói : " hạng tốt thì mới được thế , chả lẽ lại không có mốc , mục hay sao ? đại khái để lâu vừa thì mười năm vẫn tốt nguyên " .
出降者亦盡殺之妻子㨿爲奴婢。	người nào ra hàng cũng bị giết cả , vợ con bị bắt làm nô tỳ .
在鎮共十三年駢。	ở trấn cộng mười ba năm ; biền .
統阮五年為登庸所殺。	năm thống nguyên thứ năm , bị mạc đăng dung giết .
遣正使黎弼四副使阮用阮克寬等如明進謝恩禮。	sai chánh sứ lê bật tứ , phó sứ nguyễn dụng và nguyễn khắc khoan sang nhà minh dâng lễ tạ ơn .
且砦臨屑邏大江既克之後俘獲沿流而下過真臘及諸蕃國皆震耀兵威因諭諸國子弟入朝。	vả lại , trại nó sát ngay sông lớn tiết la , sau khi thắng trận bắt được tù binh theo dòng xuôi xuống , đi qua chân lạp và các nước phiên khác , đều có diễu võ giương oai , nhân đó dụ bảo con em các nước ấy vào chầu .
秋七月至八月大水。	mùa thu , từ tháng bảy đến tháng tám , nước to .
冬十一月會試天下貢士取合格陳世榮等三十一名。	mùa đông , tháng mười một , thi hội các cống sĩ trong nước . lấy đỗ bọn trần thế vinh ba mươi mốt người .
朕以王書󰰾将軍博陽侯其親昆弟在真定者已遣人存問脩治先人塚。	trẫm theo thư của vương , đã bãi chức tướng quân bác dương hầu rồi , còn anh em thân của vương hiện ở chân định , trẫm đã sai người đến thăm hỏi và sửa đắp phần mộ tiên nhân của vương rồi .
冬十月甲子夜地震山崩草木枯死。	mùa đông , tháng mười , ngày giáp tý , ban đêm động đất , núi lở , cây cỏ chết khô .
上書令參知政事知北道軍民簿籍事亭侯阮󰔻卒贈入内太保諡忠靖。	thượng thư lệnh tham tri chính sự , tri bắc đạo quân dân bạ tịch sự đình hầu nguyễn lãm chết , được truy tặng nhập nội thái bảo , tên thuỵ là trung tĩnh .
帝出較塲觀𡐡神黎察等及文武内外百官告天地神祗名山大川刑帛馬歃血盟誓。	vua ra trường đấu xem bọn đại thần lê sát và các quan văn võ trong ngoài tế cáo trời , đất , thần kỳ danh sơn , đại xuyên , giết ngựa trắng lấy máu cùng thề .
定南王亦親送至江津行禮曲盡哀敬。	định nam vương cũng thân đi đưa đến bến sông làm lễ rất thương kính .
三軍踴躍大喜咸願報國。	ba quân vui mừng phấn khởi , đều nguyện báo ơn nước .
會試天下󰁮人取范智謙等四十四人。	thi hội các cử nhân trong nước , lấy đỗ bọn phạm trí khiêm bốn mươi bốn người .
自天䦕至京北連路不絶。	từ thiên quang đến kinh bắc đường liền không dứt .
秋七月大雨雹。	mùa thu , tháng bảy , mưa đá lớn .
帝作春雲詩集。	vua viết sách xuân vân thi tập .
訓煉士卒習爾弓矢使人人逄𫎇家家后羿梟必烈之頭於闕下腐雲南之肉於藁街。	hãy huấn luyện quân sĩ , tập dượt cung tên , khiến cho người người giỏi như bàng mông , nhà nhà đều là hậu nghệ , để có thể bêu đầu hốt tất liệt dưới cửa khuyết , phơi xác vân nam vương ở cảo nhai .
誠𭛁於言言𡸈不順。	lòng thành phát ra từ lời nói , thì lời nói ấy há chẳng là thuận ư ? .
安馮榮奏曰永錫何如不使復職。	an và phùng vinh tâu vua : " vĩnh tích làm gì mà không cho phục chức ? " .
偽強國公走上岸偽壮王莫敬章太國公走入。	nguỵ cường quốc công chạy lên bờ ; nguỵ tráng vương mạc kính chương và thái quốc công chạy vào .
太后曰賛唐日侍湯藥公言不及何也。	thái hậu nói : " tán đường hàng ngày hầu thuốc thang , sao không thấy ông nhắc đến ? .
賊詰國事不答。	giặc hỏi việc nước , vương không trả lời , .
長安鎮為天䦕鎮。	trấn trường yên thành trấn thiên quan .
并不得接近訪問交通言語。	không cho chúng được đến gần hỏi han , trao đổi trò chuyện .
演州鎮為望江鎮。	trấn diễn châu thành trấn vọng giang .
朝官皆不之知帝飲荭蒲酒劇醉。	các quan trong triều không ai biết cả , vua thì uống rượu xương bồ say khướt .
餘以例改如枚弄之軰益稷以骨肉之親治罪𨿽同不忍改姓及斥名乃命曰妸陳謂其柔懦似婦人也。	người khác cứ theo lệ ấy mà đổi , như bọn mai lộng , ích tắc là chỗ tình thân cốt nhục , tuy trị tội cũng thế , nhưng không nỡ đổi họ xoá tên , chỉ gọi là ả trần , có ý chê hắn hèn nhát như đàn bà vậy .
又築堤子周回二千一百二十五丈八尺髙一丈五尺脚闊二丈及造屋四十餘萬間。	lại đắp con đê vòng quanh dài hai nghìn một trăm hai mươi lăm trượng tám thước ; cao một trượng năm thước ; chân rộng hai trượng , cùng làm nhà cửa hơn bốn mươi vạn gian .
其大畧以爲諸在社民有姦匈人同族同社平時不能訓戒至事發又不能捕納各罰錢五拾貫。	đại khái định rằng : ở các xã dân có kẻ nào gian phi hung bạo , mà người cùng họ , cùng xã ngày thường không biết răn dạy , đến lúc việc xảy ra , lại không biết bắt nộp thì đều phải phạt năm mươi quan tiền .
學象棊則畫秤勢棊子於承塵坐視而熟慮焉時稱善其。	học đánh cờ thì vẽ bàn cờ và quân cờ lên trần nhà , rồi ngồi nhìn và suy tính kỹ càng , người đương thời khen là giỏi cờ .
渭郡公黎克慎鎮守太原嘉郡公鎮守宣光。	vị quận công lê khắc thận trấn thủ thái nguyên , gia quận công trấn thủ tuyên quang .
至於兵刅交攻之除或枉傷忠孝或誤害賢良𦤶使皇天震怒以彰其遇錐遭傾隕亦無憾焉。	còn như trong khi đánh nhau , hoặc giết oan kẻ trung hiếu , hoặc hại lầm kẻ hiền lương , đến nỗi hoàng thiên nổi giận phải tỏ cho biết lỗi lầm , dẫu gặp tổn hại cũng không dám oán trách .
十一月有白氣如劎出于東南長丈餘。	tháng mười một , có khí trắng như hình thanh kiếm hiện ở phương đông nam , dài hơn một trượng .
且為民而除螟𧑞不以賊而遺子孫。	lại vì dân trừ loài sâu độc , chẳng để giặc cho con cháu đời sau .
乃溺女色之私情忘國家之大事而肉食者不以爲言謂之何哉。	sao lại say đắm tình riêng nữ sắc , quên mất việc lớn của nước nhà , mà những người ăn thịt bấy giờ không ai nói gì là làm sao ? .
鄕上侯三人黎理黎文靈黎國𦥷。	hương thượng hầu ba người là lê lý , lê văn linh , lê quốc hưng , .
夏五月。	mùa hạ , tháng năm .
大興宫室造百寳千歲殿于大雲山其柱裝之以金銀爲視朝之所東曰風流殿西曰紫華殿左曰蓬萊殿右曰極樂殿。	làm nhiều cung điện nhà cửa : dựng điện bách bảo thiên tuế ở núi đại vân , cổt giác vàng bạc , làm nơi coi chầu ; phía đông là điện phong lưu , phía tây là điện tử hoa , bên tả là điện bồng lai , bên hữu là điện cực lạc .
加紹國公黎廣度平章軍國重事總統國政太宰太師。	gia phong thiệu quốc công lê quảng độ làm bình chương quân quốc trọng sự , tổng thống quốc chính . thái tể thái sư .
以此䏻輔成王業而令終也。	vì thế đã giúp nên vương nghiệp và giữ được tiếng tốt cho đến lúc mất .
上相自知病篤乃上表乞釋兵權辝意懇切。	thượng tướng tự biết mình bệnh nặng , liền dâng biểu xin thôi giữ binh quyền , lời lẽ rất khẩn thiết .
于時統領官富郡公鄭根迅差麾下陳進朝吳廷椿杜曆髙曛等各率所𬋩内候兵進擊。	bấy giờ thống lĩnh quan phú quận công trịnh căn vội sai thuộc tướng là bọn trần tiến triều , ngô đình xuân , đỗ lịch , cao huân đem lính nội hầu dưới quyền mình tiến đánh .
其在六軍罪猶可怒惟簡在上帝之心。	đến như sáu quân thì tội lỗi có thể dung thứ , xin lòng trời soi xét " .
若鼓已三發之後而百官猶在朱雀門外并鐘已過五十之後。	sau khi trống đã đánh hồi thứ ba mà các quan còn ở ngoài cửa chu tước và sau khi chuông đã đánh quá năm mươi tiếng rồi .
時僞官土軍金香等户之在城者王通令自願或去北或在南各依所請。	bấy giờ đối với nguỵ quan , thổ quân và các hộ đãi vàng , tìm hương liệu trong thành , vương thông cho họ được tự nguyện về phương bắc hay ở lại nước nam theo ý của mình .
等處土将嘉郡公亦歸順朝廷咸願給兵討賊。	viên thổ tướng gia quận công cũng quy thuận triều đình , nguyện xin cấp quân đánh giặc .
莫使宗室将義國公節制南道兵期日進擊。	họ mạc sai viên tướng người tông thất là nghĩa quốc công tiết chế quân nam đạo , hẹn ngày tiến đánh .
禁法門之呪咀道士奉道剪髮不得長髮。	nhà pháp thuật bị cấm làm phù chú , đạo sĩ thờ đạo phải cắt tóc không được để dài .
二月二十日上御駕觀西湖捕魚。	tháng hai , ngày hai mươi , vua xem bắt cá ở tây hồ .
文階部寺首領府縣校官以上若從營不拘同者服期年。	văn giai từ thủ lính các bộ , các tự , các phủ huyện và hiệu quan trở lên ( nếu theo quan dinh thì không câu nệ ) để tang một năm .
令旨揮阮世羙譯為囯語以申諭之。	sai chỉ huy nguyễn thế mỹ dịch ra quốc ngữ để nhắc lại .
官員妻預命婦者服期年不預命婦者服一百日並禁華飾。	vợ các quan viên dự hàng mệnh phụ để tang một năm , không dự hàng mệnh phụ để tang một trăm ngày , đều cấm trang sức .
勑旨軍色󰠃無所出差輕務令。	ra sắc chỉ , định lệnh các sắc quân , người nào cùng vô sở xuất thì sai làm việc nhẹ .
飛卿生廌亦中太學生。	( phi khanh sinh ra trãi , cũng đỗ thái học sinh ) .
並禁音樂并絲色珠玉金銀等服用。	cấm hết âm nhạc và mặc dùng các thứ lụa màu , châu ngọc , vàng bạc .
八日木忙宣慰車蘿順每州經畧使道車越州州道蘿玉麻觀察使琴軻等來献方物賜錢各有差。	ngày mồng tám , bọn tuyên uý mường mộc và xa la , kinh lược sứ châu thuận mỗi là đạo xa , tri châu việt châu là đạo la , quan sát sứ châu ngọc ma là cầm kha sang dâng sản vật địa phương , đều được ban tiền theo thứ bậc khác nhau .
夏六月遣兵部侍郎黎文盛如永平寨與宋議疆事。	mùa hạ , tháng sáu , sai thi lang bộ binh lê văn thịnh đến trại vĩnh bình cùng với người tống bàn việc cương giới .
旨傳分補鄕試塲供頓事例凣某縣有應除某社民許二司照本處各縣平補共受以均力役。	có chỉ truyền về lệ phân bổ cung đốn cho trường thi hương . huyện nào có xã dân nào đáng được trừ , thì cho hai ty chiếu theo các huyện trong xứ mình san bổ cùng chịu để vệc lực dịch được quân bình .
志是明遣若水等來封而惠以老回家。	lần này nhà minh sai bọn nhược thuỷ sang phong thì huệ đã lui về vì tuổi già .
六日帝密令左游擊將軍黎希葛黄仁添及前鋒將軍黎勢鄭文洒等将舟五百餘艘精兵三萬夜出厭坐海口急渡海潜入沙奇海門立壘築城截賊㱕路。	ngày mồng sáu , vua bí mật sai bọn tả du kích tướng quân lê hy cát , hoàng nhân thiêm và bọn tiền phong tướng quân lê thế , trịnh văn sái đem hơn năm trăm chiếc thuyền , ba vạn tinh binh , ban đêm ra cửa áp và cửa toạ vượt biển gấp , bí mật tiến vào cửa biển sa kỳ dựng luỹ đắp thành để ngăn chặn lối về của giặc .
旨傳禁通同外國盗賣銃口。	có chỉ truyền cấm thông đồng với người nước ngoài bán trộm súng .
縣侯十四人黎僃黎皮黎否黎芇黎受黎雷黎可黎培黎可郎黎熾黎犬黎秘黎國楨黎弼。	huyện hầu mười bốn người là : lê bị , lê bì , lê bĩ , lê náo , lê thụ , lê lôi , lê khả , lê bồi , lê khả lang , lê xí , lê khuyển , lê bí , lê quốc trinh , lê bật .
庚午十三年莫崇康五年明隆󰆑四年。	canh ngọ , năm thứ mười ba , ( mạc sùng khang năm thứ năm ; minh long khánh năm thứ bốn ) .
節制鄭松又差阮黄領兵徃勦除收捕。	tiết chế trịnh tùng lại sai nguyễn hoàng đem quân đi tiễu trừ thu bắt .
帝欲鄰國和好乃以帝妃前女封玉華公主嫁之。	vua muốn hoà hảo với nước láng giềng , bèn đem con gái riêng của vợ mình , phong làm ngọc hoa công chúa gả cho .
軍容既整士噐益增。	kỷ luật quân đội đã nghiêm chỉnh , tinh thần binh sĩ càng tăng thêm .
李伍矯義李箇阮貶阮僕阮寬陶六杜記矯紹爲祗侯書家。	lý ngũ , kiểu nghĩa , lý cá , nguyễn biếm , nguyễn bộc , nguyễn khoan , đào lục , đỗ ký , kiểu thiệu làm chi hậu thư gia .
後偽壮王莫敬章國公華國公嚴國公錦國公強國公東國公等俱将兵占㨿海陽地方。	sau bọn nguỵ tráng vương mạc kính chương , thái quốc công , hoa quốc công , nghiên quốc công , cẩm quốc công , cường quốc công , đông quốc công đều chiếm giữ vùng hải dương .
不惟余之宗廟萬世祀享而汝等之祖父亦春秋之血食。	chẳng những tông miếu của ta được muôn đời tế lễ mà ông cha các ngươi cũng được thờ cúng quanh năm .
一臯駢之督属斬數萬賊眾之強况賢於髙駢者乎。	một cao biền đốc suất bộ thuộc mà chém được vài vạn quân giặc mạnh , huống chi lại có người giỏi hơn cao biền nữa ! .
然聖人觀乎天文以察時变觀乎人文以化成天下將不可以儆戒之哉亦安可蓄疑以敗謀哉。	thánh nhân xưa quan sát thiên văn để xét sự đổi thay của thời tiết , xem xét nhân văn để giáo hoá thiên hạ , không thể không cảnh giác đề phòng , nhưng sao lại nên chứa chất ngờ vực để cho hỏng việc ? " .
莫知文奎已投降復有大兵來救乃退守天派江。	họ mạc biết văn khuê đã đầu hàng , lại có đại quân đến cứu , liền lui về giữ sông thiên phái .
